PPG (Pulse)	Respiration (SS5LB)
-0.824158	-4.99329
-0.818359	-4.98413
-0.812378	-4.97528
-0.805725	-4.96674
-0.799011	-4.95789
-0.792664	-4.94934
-0.787781	-4.9408
-0.783936	-4.93195
-0.78064	-4.9234
-0.776367	-4.91455
-0.77002	-4.90601
-0.761841	-4.89746
-0.752075	-4.88922
-0.739014	-4.88098
-0.720093	-4.87274
-0.689758	-4.8645
-0.642578	-4.85565
-0.572205	-4.8468
-0.473755	-4.83795
-0.344666	-4.82941
-0.186646	-4.82117
-0.00592041	-4.81323
0.187195	-4.80499
0.382019	-4.79706
0.570374	-4.78851
0.746521	-4.77997
0.907471	-4.77142
1.05365	-4.76288
1.18738	-4.75433
1.31067	-4.74609
1.42316	-4.73785
1.52325	-4.72961
1.61047	-4.72137
1.68506	-4.71313
1.74677	-4.7052
1.7948	-4.69696
1.8302	-4.68872
1.85449	-4.68048
1.86902	-4.67224
1.8739	-4.664
1.86829	-4.65576
1.85297	-4.64783
1.82922	-4.63989
1.79883	-4.63196
1.7619	-4.62402
1.71899	-4.61639
1.67041	-4.60846
1.61768	-4.60052
1.56152	-4.59259
1.50238	-4.58435
1.4397	-4.57611
1.37372	-4.56818
1.3056	-4.55994
1.23724	-4.5517
1.16846	-4.54376
1.09821	-4.53613
1.02496	-4.5285
0.94989	-4.52087
0.874756	-4.51294
0.800903	-4.50531
0.728088	-4.49738
0.656006	-4.48914
0.584961	-4.4812
0.515503	-4.47327
0.447388	-4.46533
0.381042	-4.4577
0.31665	-4.44977
0.256165	-4.44183
0.200256	-4.4342
0.149414	-4.42657
0.103333	-4.41895
0.0621338	-4.41132
0.026062	-4.40369
-0.00427246	-4.39606
-0.0267334	-4.38843
-0.0388794	-4.3808
-0.0407104	-4.37317
-0.0355835	-4.36554
-0.0288086	-4.3576
-0.0234985	-4.34998
-0.019104	-4.34265
-0.0135498	-4.33502
-0.00524902	-4.32739
0.00524902	-4.32007
0.0159912	-4.31244
0.0263062	-4.30481
0.0361938	-4.29688
0.0456543	-4.28925
0.053894	-4.28162
0.0602417	-4.27429
0.0645142	-4.26697
0.0663452	-4.25964
0.0653687	-4.25262
0.0623169	-4.2453
0.0579224	-4.23798
0.0528564	-4.23065
0.0470581	-4.22333
0.0401001	-4.2157
0.0314941	-4.20837
0.0200806	-4.20105
0.00500488	-4.19373
-0.0142822	-4.18671
-0.0372314	-4.17908
-0.062561	-4.17175
-0.0893555	-4.16473
-0.116699	-4.15741
-0.14502	-4.15039
-0.17572	-4.14307
-0.209656	-4.13574
-0.245911	-4.12811
-0.282593	-4.12109
-0.318848	-4.11407
-0.355164	-4.10706
-0.391724	-4.09973
-0.427795	-4.09241
-0.461853	-4.08478
-0.49408	-4.07745
-0.52533	-4.07043
-0.556824	-4.06342
-0.588318	-4.05701
-0.618286	-4.05029
-0.645691	-4.04358
-0.670959	-4.03687
-0.694336	-4.02954
